inst#,solver,actualclass,predictedclass,, error, probability distribution
7041,58743454,bad,bad,0.037 *0.963,,
7042,58743455,bad,bad,0.037 *0.963,,
7043,96590060,bad,bad,0.08  *0.92 ,,
7044,60392862,bad,bad,0.037 *0.963,,
7045,7481378,bad,bad,0.003 *0.997,,
7046,73388125,bad,bad,0     *1    ,,
7047,12926477,bad,bad,0.003 *0.997,,
7048,56513173,bad,bad,0     *1    ,,
7049,28187355,bad,bad,0     *1    ,,
7050,24483136,bad,bad,0     *1    ,,
7051,7668972,bad,bad,0.003 *0.997,,
7052,24748479,bad,bad,0     *1    ,,
7053,41159761,bad,bad,0.003 *0.997,,
7054,22938022,bad,bad,0     *1    ,,
7055,52421326,bad,bad,0     *1    ,,
7056,21591613,bad,bad,0     *1    ,,
7057,21591615,bad,bad,0     *1    ,,
7058,71929702,bad,bad,0     *1    ,,
7059,92331214,bad,bad,0     *1    ,,
7060,45850727,bad,bad,0.003 *0.997,,
7061,87479578,good,good,*1      0    ,,
7062,12926479,bad,bad,0.005 *0.995,,
7063,12926477,bad,bad,0.005 *0.995,,
7064,39942440,bad,bad,0.3   *0.7  ,,
7065,39942443,good,good,*0.967  0.033,,
7066,24483136,bad,bad,0.013 *0.987,,
7067,41159761,bad,bad,0.017 *0.983,,
7068,30523628,good,good,*0.931  0.069,,
7069,52421325,bad,bad,0.031 *0.969,,
7070,21591615,bad,bad,0.013 *0.987,,
7071,8788782,bad,bad,0.012 *0.988,,
7072,94599139,bad,good,*0.88   0.12 ,,
7073,45850726,bad,bad,0.017 *0.983,,
7074,87479578,bad,bad,0     *1    ,,
7075,7481378,bad,bad,0.015 *0.985,,
7076,12926478,bad,bad,0.033 *0.967,,
7077,52068145,bad,good,*0.841  0.159,,
7078,12926476,bad,bad,0.033 *0.967,,
7079,56513173,bad,bad,0.088 *0.913,,
7080,52198660,bad,bad,0.001 *0.999,,
7081,9786219,bad,bad,0     *1    ,,
7082,87217530,bad,bad,0.012 *0.988,,
7083,32110531,bad,bad,0     *1    ,,
7084,16465898,good,bad,0.033 *0.967,,
7085,42851841,bad,bad,0     *1    ,,
7086,11256944,bad,bad,0.033 *0.967,,
7087,7668973,bad,bad,0.015 *0.985,,
7088,12321508,bad,bad,0.033 *0.967,,
7089,19552032,bad,bad,0     *1    ,,
7090,12271644,bad,bad,0.033 *0.967,,
7091,86142505,bad,bad,0.012 *0.988,,
7092,22938022,bad,bad,0.107 *0.893,,
7093,47942866,bad,bad,0     *1    ,,
7094,21591613,bad,bad,0.107 *0.893,,
7095,21591612,bad,bad,0.107 *0.893,,
7096,8788782,good,bad,0.051 *0.949,,
7097,94599138,bad,good,*1      0    ,,
7098,20321735,bad,bad,0     *1    ,,
7099,58743455,bad,bad,0.028 *0.972,,
7100,81986705,good,bad,0     *1    ,,
7101,20321733,bad,bad,0     *1    ,,
7102,60392860,bad,bad,0.028 *0.972,,
7103,45850727,bad,bad,0     *1    ,,
7104,45850726,bad,bad,0     *1    ,,
7105,66604316,bad,bad,0.026 *0.974,,
7106,12926479,bad,bad,0.033 *0.967,,
7107,12926478,bad,bad,0.033 *0.967,,
7108,12926477,bad,bad,0.033 *0.967,,
7109,47942865,bad,bad,0.04  *0.96 ,,
7110,45869639,bad,bad,0     *1    ,,
7111,99720138,bad,good,*0.765  0.235,,
7112,39942440,bad,bad,0.172 *0.828,,
7113,39942442,bad,bad,0.172 *0.828,,
7114,28187355,bad,bad,0.06  *0.94 ,,
7115,9786219,bad,bad,0.227 *0.773,,
7116,64278029,bad,bad,0.026 *0.974,,
7117,32197588,bad,bad,0.01  *0.99 ,,
7118,87217530,bad,bad,0.024 *0.976,,
7119,32110531,bad,bad,0.01  *0.99 ,,
7120,7668973,bad,bad,0.015 *0.985,,
7121,28257537,bad,bad,0.06  *0.94 ,,
7122,12321508,bad,bad,0.033 *0.967,,
7123,86142508,bad,bad,0.024 *0.976,,
7124,75259914,bad,bad,0     *1    ,,
7125,22938023,good,good,*0.75   0.25 ,,
7126,22938024,bad,good,*0.75   0.25 ,,
7127,1788899,bad,bad,0.015 *0.985,,
7128,21591612,bad,bad,0     *1    ,,
7129,21591615,bad,bad,0     *1    ,,
7130,30870722,bad,bad,0.01  *0.99 ,,
7131,28257540,bad,bad,0.06  *0.94 ,,
7132,58743453,bad,bad,0.128 *0.872,,
7133,89269801,bad,bad,0     *1    ,,
7134,45850727,bad,bad,0     *1    ,,
7135,72490863,bad,bad,0.1   *0.9  ,,
7136,66604316,bad,bad,0.138 *0.862,,
7137,87479579,bad,bad,0     *1    ,,
7138,12926478,bad,good,*0.833  0.167,,
7139,52068147,bad,bad,0     *1    ,,
7140,39942441,good,bad,0.172 *0.828,,
7141,32110531,good,good,*0.717  0.283,,
7142,93485612,good,good,*0.893  0.107,,
7143,18707297,bad,bad,0     *1    ,,
7144,7668974,bad,bad,0.029 *0.971,,
7145,28257537,bad,bad,0.06  *0.94 ,,
7146,12321508,bad,bad,0     *1    ,,
7147,59171420,bad,bad,0.138 *0.862,,
7148,95279263,bad,bad,0.211 *0.789,,
7149,47942866,bad,bad,0.04  *0.96 ,,
7150,30523627,bad,bad,0.385 *0.615,,
7151,44791169,bad,bad,0.063 *0.938,,
7152,28257540,good,bad,0.06  *0.94 ,,
7153,94599137,good,bad,0.211 *0.789,,
7154,45869640,bad,bad,0.063 *0.938,,
7155,58743455,bad,bad,0.138 *0.862,,
7156,81986705,good,bad,0.138 *0.862,,
7157,96590061,bad,bad,0.08  *0.92 ,,
7158,96590063,good,bad,0.08  *0.92 ,,
7159,94599140,bad,bad,0.211 *0.789,,
7160,20321733,bad,bad,0.163 *0.837,,
7161,45850725,bad,bad,0.063 *0.938,,
7162,74995666,bad,good,*0.818  0.182,,
7163,14953989,good,good,*0.937  0.063,,
7164,47942865,good,good,*0.937  0.063,,
7165,45869637,good,good,*0.937  0.063,,
7166,89269802,good,good,*0.806  0.194,,
7167,52198660,good,good,*0.937  0.063,,
7168,39942441,good,good,*0.937  0.063,,
7169,39942440,good,good,*0.937  0.063,,
7170,44673503,bad,good,*0.937  0.063,,
7171,9786219,good,good,*0.937  0.063,,
7172,87217530,bad,good,*0.818  0.182,,
7173,16465898,good,good,*0.937  0.063,,
7174,7668974,good,good,*0.937  0.063,,
7175,28257537,good,good,*0.937  0.063,,
7176,12321508,good,good,*0.937  0.063,,
7177,16306266,good,good,*0.937  0.063,,
7178,19552033,good,good,*0.937  0.063,,
7179,75259914,bad,good,*0.818  0.182,,
7180,22938022,good,good,*0.937  0.063,,
7181,30523627,good,good,*0.937  0.063,,
7182,52421327,good,good,*0.937  0.063,,
7183,21591615,good,good,*0.937  0.063,,
7184,52198659,good,good,*0.937  0.063,,
7185,30870721,good,good,*0.937  0.063,,
7186,30870720,good,good,*0.937  0.063,,
7187,45869640,good,good,*0.937  0.063,,
7188,94599139,good,good,*1      0    ,,
7189,20321735,good,good,*0.937  0.063,,
7190,96689089,bad,good,*1      0    ,,
7191,91845162,good,good,*0.806  0.194,,
7192,45850726,good,good,*0.937  0.063,,
7193,72490863,bad,good,*0.818  0.182,,
7194,12926479,bad,bad,0.027 *0.973,,
7195,52068145,bad,bad,0     *1    ,,
7196,50249253,bad,bad,0.011 *0.989,,
7197,7668974,bad,bad,0.005 *0.995,,
7198,12271644,bad,bad,0.027 *0.973,,
7199,22938021,bad,bad,0.027 *0.973,,
7200,52421327,bad,bad,0.013 *0.987,,
7201,52198658,bad,bad,0.013 *0.987,,
7202,94599137,bad,good,*0.955  0.045,,
7203,7481378,bad,bad,0.002 *0.998,,
7204,87479577,bad,bad,0.02  *0.98 ,,
7205,12926477,bad,bad,0.002 *0.998,,
7206,12926476,bad,bad,0.002 *0.998,,
7207,45869638,bad,bad,0.002 *0.998,,
7208,54685154,bad,bad,0.002 *0.998,,
7209,89269803,bad,bad,0.004 *0.996,,
7210,89269804,bad,bad,0.004 *0.996,,
7211,39942440,bad,bad,0.002 *0.998,,
7212,39942443,bad,bad,0.002 *0.998,,
7213,44673503,bad,bad,0.002 *0.998,,
7214,90783920,bad,bad,0.004 *0.996,,
7215,24483136,bad,bad,0.002 *0.998,,
7216,32110531,bad,bad,0.002 *0.998,,
7217,42851841,bad,bad,0.002 *0.998,,
7218,7668972,bad,bad,0.002 *0.998,,
7219,7668975,bad,bad,0.002 *0.998,,
7220,86142507,bad,bad,0.002 *0.998,,
7221,75259914,bad,bad,0.002 *0.998,,
7222,47942866,bad,bad,0.002 *0.998,,
7223,30523625,bad,bad,0.002 *0.998,,
7224,52421326,bad,bad,0.002 *0.998,,
7225,21591613,bad,bad,0.002 *0.998,,
7226,30870722,bad,bad,0.002 *0.998,,
7227,45869640,bad,bad,0.002 *0.998,,
7228,20321734,bad,bad,0.002 *0.998,,
7229,58743452,bad,bad,0.002 *0.998,,
7230,58743455,bad,bad,0.002 *0.998,,
7231,58743453,bad,bad,0.002 *0.998,,
7232,45850726,bad,bad,0.002 *0.998,,
7233,14953989,bad,bad,0.027 *0.973,,
7234,52068147,bad,bad,0.061 *0.939,,
7235,12926477,bad,bad,0.027 *0.973,,
7236,39942440,bad,bad,0.091 *0.909,,
7237,44673503,bad,bad,0.011 *0.989,,
7238,90783920,bad,bad,0.004 *0.996,,
7239,18707297,bad,bad,0.027 *0.973,,
7240,24748479,bad,bad,0.027 *0.973,,
7241,41159761,bad,bad,0.011 *0.989,,
7242,69323954,bad,bad,0.01  *0.99 ,,
7243,30523625,bad,bad,0.156 *0.844,,
7244,94479547,bad,bad,0     *1    ,,
7245,21591612,bad,bad,0.027 *0.973,,
7246,11728976,bad,bad,0.027 *0.973,,
7247,45850727,bad,bad,0.011 *0.989,,
7248,72490863,bad,bad,0.043 *0.957,,
7249,74995666,good,good,*0.789  0.211,,
7250,73388125,good,good,*0.789  0.211,,
7251,12926479,good,good,*0.86   0.14 ,,
7252,28257538,good,good,*0.86   0.14 ,,
7253,12926477,good,good,*0.86   0.14 ,,
7254,45869637,good,good,*0.86   0.14 ,,
7255,95762355,good,good,*0.68   0.32 ,,
7256,95762354,good,good,*0.938  0.063,,
7257,95762352,good,good,*0.938  0.063,,
7258,11256942,good,good,*0.86   0.14 ,,
7259,11256943,good,good,*0.86   0.14 ,,
7260,7668975,good,good,*0.86   0.14 ,,
7261,28257537,good,good,*0.86   0.14 ,,
7262,59171420,good,good,*0.789  0.211,,
7263,86142508,good,good,*0.789  0.211,,
7264,86142506,good,good,*0.789  0.211,,
7265,19552034,good,good,*0.86   0.14 ,,
7266,12271644,good,good,*0.86   0.14 ,,
7267,22938023,good,good,*0.86   0.14 ,,
7268,1788899,bad,good,*0.86   0.14 ,,
7269,44791169,good,good,*0.86   0.14 ,,
7270,8788782,good,good,*0.86   0.14 ,,
7271,52198658,good,good,*0.789  0.211,,
7272,52198659,good,good,*0.789  0.211,,
7273,30870722,good,good,*0.86   0.14 ,,
7274,30870721,good,good,*0.86   0.14 ,,
7275,20321735,good,good,*0.86   0.14 ,,
7276,58743452,good,good,*0.789  0.211,,
7277,58743455,good,good,*0.789  0.211,,
7278,20321733,good,good,*0.86   0.14 ,,
7279,60392863,good,good,*0.789  0.211,,
7280,87479578,good,good,*0.93   0.07 ,,
7281,7481378,bad,bad,0.003 *0.997,,
7282,17479586,bad,bad,0.003 *0.997,,
7283,14953989,bad,bad,0.003 *0.997,,
7284,44673503,bad,bad,0.003 *0.997,,
7285,44526267,bad,bad,0.003 *0.997,,
7286,41159761,bad,bad,0.003 *0.997,,
7287,22938023,bad,bad,0     *1    ,,
7288,22938021,bad,bad,0     *1    ,,
7289,22938024,bad,bad,0     *1    ,,
7290,34159646,bad,bad,0     *1    ,,
7291,94479547,bad,bad,0.008 *0.992,,
7292,52421325,bad,bad,0     *1    ,,
7293,52421327,bad,bad,0     *1    ,,
7294,21591613,bad,bad,0     *1    ,,
7295,94599137,good,good,*0.928  0.072,,
7296,94599139,bad,good,*0.928  0.072,,
7297,49513306,bad,bad,0.003 *0.997,,
7298,36171345,bad,bad,0     *1    ,,
7299,45850726,bad,bad,0.003 *0.997,,
7300,45850728,bad,bad,0.003 *0.997,,
7301,87479578,good,good,*0.93   0.07 ,,
7302,87479579,good,good,*0.93   0.07 ,,
7303,52068148,bad,good,*0.934  0.066,,
7304,93485612,bad,bad,0.008 *0.992,,
7305,18707297,bad,bad,0.003 *0.997,,
7306,33998453,bad,bad,0     *1    ,,
7307,30523625,good,good,*0.571  0.429,,
7308,30523626,bad,good,*0.571  0.429,,
7309,88304927,bad,bad,0     *1    ,,
7310,8788782,bad,bad,0.003 *0.997,,
7311,52198658,bad,bad,0     *1    ,,
7312,94599139,good,good,*0.928  0.072,,
7313,68908713,bad,bad,0     *1    ,,
7314,47483213,bad,bad,0.003 *0.997,,
7315,96929765,bad,bad,0     *1    ,,
7316,36171345,bad,bad,0     *1    ,,
7317,45850727,bad,bad,0.003 *0.997,,
7318,45850728,bad,bad,0.003 *0.997,,
7319,87479578,good,good,*0.93   0.07 ,,
7320,73388125,bad,bad,0     *1    ,,
7321,52068145,good,good,*0.934  0.066,,
7322,12926476,bad,bad,0.003 *0.997,,
7323,22355199,bad,bad,0     *1    ,,
7324,39942442,good,good,*0.926  0.074,,
7325,44526267,bad,bad,0.003 *0.997,,
7326,87217530,bad,bad,0     *1    ,,
7327,16465898,bad,bad,0.003 *0.997,,
7328,7668974,bad,bad,0.003 *0.997,,
7329,88304927,bad,bad,0     *1    ,,
7330,52421325,bad,bad,0     *1    ,,
7331,94599140,bad,good,*0.928  0.072,,
7332,49513306,bad,bad,0.003 *0.997,,
7333,96689089,bad,bad,0.073 *0.927,,
7334,45850725,bad,bad,0.003 *0.997,,
7335,45850727,bad,bad,0.003 *0.997,,
7336,12926479,bad,bad,0.003 *0.997,,
7337,12926478,bad,bad,0.003 *0.997,,
7338,12926476,bad,bad,0.003 *0.997,,
7339,39942440,bad,good,*0.926  0.074,,
7340,44526267,bad,bad,0.003 *0.997,,
7341,33173731,bad,bad,0     *1    ,,
7342,75259914,bad,bad,0     *1    ,,
7343,22938022,bad,bad,0     *1    ,,
7344,30523628,good,good,*0.9    0.1  ,,
7345,30523625,good,good,*0.571  0.429,,
7346,94479547,bad,bad,0.008 *0.992,,
7347,82456576,bad,bad,0     *1    ,,
7348,8788782,bad,bad,0.003 *0.997,,
7349,36171345,bad,bad,0     *1    ,,
7350,73388125,bad,bad,0.043 *0.957,,
7351,44526267,bad,bad,0.011 *0.989,,
7352,93485612,bad,bad,0.008 *0.992,,
7353,7668974,bad,bad,0.005 *0.995,,
7354,88436999,bad,bad,0.004 *0.996,,
7355,12271644,bad,bad,0.027 *0.973,,
7356,30523628,good,good,*0.684  0.316,,
7357,30523625,bad,bad,0.156 *0.844,,
7358,52421325,bad,bad,0.013 *0.987,,
7359,52421327,bad,bad,0.013 *0.987,,
7360,94599137,good,good,*0.955  0.045,,
7361,50249253,bad,bad,0.017 *0.983,,
7362,39942442,good,good,*0.967  0.033,,
7363,7668972,bad,bad,0.012 *0.988,,
7364,7668975,bad,bad,0.012 *0.988,,
7365,33998453,bad,bad,0.006 *0.994,,
7366,59171420,bad,bad,0.031 *0.969,,
7367,75259914,bad,bad,0.031 *0.969,,
7368,22938023,bad,bad,0.013 *0.987,,
7369,22938024,bad,bad,0.013 *0.987,,
7370,69323954,bad,bad,0.031 *0.969,,
7371,47355262,bad,bad,0.017 *0.983,,
7372,94479547,bad,bad,0.008 *0.992,,
7373,52421325,bad,bad,0.031 *0.969,,
7374,21591612,bad,bad,0.013 *0.987,,
7375,21591615,bad,bad,0.013 *0.987,,
7376,94599137,good,good,*0.955  0.045,,
7377,81986705,bad,bad,0.031 *0.969,,
7378,7481378,bad,bad,0.016 *0.984,,
7379,73388125,bad,bad,0.016 *0.984,,
7380,52068147,bad,bad,0.016 *0.984,,
7381,12926476,bad,bad,0.016 *0.984,,
7382,56513173,bad,bad,0.016 *0.984,,
7383,39942443,good,bad,0.016 *0.984,,
7384,87217530,bad,bad,0.016 *0.984,,
7385,93485612,bad,bad,0.008 *0.992,,
7386,7668972,bad,bad,0.016 *0.984,,
7387,7668973,bad,bad,0.016 *0.984,,
7388,33998453,bad,bad,0.016 *0.984,,
7389,41159761,bad,bad,0.016 *0.984,,
7390,22938021,bad,bad,0.016 *0.984,,
7391,69323954,bad,bad,0.016 *0.984,,
7392,30523626,bad,bad,0.016 *0.984,,
7393,52421325,bad,bad,0.016 *0.984,,
7394,21591615,bad,bad,0.016 *0.984,,
7395,52198658,bad,bad,0.016 *0.984,,
7396,71929702,bad,bad,0.016 *0.984,,
7397,94599137,good,good,*0.955  0.045,,
7398,92331214,bad,bad,0.004 *0.996,,
7399,87479580,bad,bad,0     *1    ,,
7400,45850725,bad,bad,0.016 *0.984,,
7401,66604316,bad,bad,0.002 *0.998,,
7402,12926476,bad,bad,0.002 *0.998,,
7403,50249253,bad,bad,0.002 *0.998,,
7404,54685154,bad,bad,0.002 *0.998,,
7405,44526267,bad,bad,0.002 *0.998,,
7406,32110530,bad,bad,0.002 *0.998,,
7407,16465898,bad,bad,0.002 *0.998,,
7408,42851841,bad,bad,0.002 *0.998,,
7409,22938022,bad,bad,0.002 *0.998,,
7410,22938021,bad,bad,0.002 *0.998,,
7411,22938024,bad,bad,0.002 *0.998,,
7412,30523625,bad,bad,0.002 *0.998,,
7413,52421328,bad,bad,0.002 *0.998,,
7414,52421327,bad,bad,0.002 *0.998,,
7415,21591615,bad,bad,0.002 *0.998,,
7416,52198658,bad,bad,0.002 *0.998,,
7417,28257540,bad,bad,0.002 *0.998,,
7418,45869640,bad,bad,0.002 *0.998,,
7419,20321734,bad,bad,0.002 *0.998,,
7420,68908713,bad,bad,0.002 *0.998,,
7421,96590060,bad,bad,0.08  *0.92 ,,
7422,60392862,bad,bad,0.002 *0.998,,
7423,45850727,bad,bad,0.002 *0.998,,
7424,87479578,bad,bad,0.02  *0.98 ,,
7425,73388125,bad,bad,0.039 *0.961,,
7426,87479579,bad,bad,0.02  *0.98 ,,
7427,12926479,bad,bad,0.024 *0.976,,
7428,12926478,bad,bad,0.024 *0.976,,
7429,89269803,bad,bad,0.004 *0.996,,
7430,39942443,bad,bad,0.012 *0.988,,
7431,11256941,bad,bad,0.024 *0.976,,
7432,7668974,bad,bad,0.024 *0.976,,
7433,7668975,bad,bad,0.024 *0.976,,
7434,28257537,bad,bad,0.06  *0.94 ,,
7435,41159761,bad,bad,0.024 *0.976,,
7436,22938022,bad,bad,0.092 *0.908,,
7437,22938024,bad,bad,0.092 *0.908,,
7438,88987917,bad,bad,0.004 *0.996,,
7439,30523627,bad,bad,0     *1    ,,
7440,30523626,bad,bad,0     *1    ,,
7441,21591612,bad,good,*0.565  0.435,,
7442,11728976,bad,bad,0.024 *0.976,,
7443,21591614,bad,bad,0.094 *0.906,,
7444,52198659,bad,bad,0.028 *0.972,,
7445,30870722,bad,bad,0.013 *0.987,,
7446,30870721,bad,bad,0.013 *0.987,,
7447,28257540,bad,bad,0.06  *0.94 ,,
7448,94599139,bad,bad,0.072 *0.928,,
7449,20321734,bad,bad,0.013 *0.987,,
7450,96590061,bad,bad,0.08  *0.92 ,,
7451,96590063,bad,bad,0.08  *0.92 ,,
7452,96689089,bad,bad,0.08  *0.92 ,,
7453,45850725,bad,bad,0.024 *0.976,,
7454,45850727,bad,bad,0.024 *0.976,,
7455,87479578,good,good,*1      0    ,,
7456,7481378,bad,bad,0.012 *0.988,,
7457,39942440,good,good,*0.9    0.1  ,,
7458,44673503,bad,bad,0.017 *0.983,,
7459,87217530,bad,bad,0.031 *0.969,,
7460,93485612,bad,bad,0.008 *0.992,,
7461,18707297,bad,bad,0.009 *0.991,,
7462,7668974,bad,bad,0.012 *0.988,,
7463,33998453,bad,bad,0.006 *0.994,,
7464,41159761,bad,bad,0.017 *0.983,,
7465,22938022,bad,bad,0.013 *0.987,,
7466,22938024,bad,bad,0.013 *0.987,,
7467,30523626,good,good,*1      0    ,,
7468,52421328,bad,bad,0.031 *0.969,,
7469,21591612,bad,bad,0.013 *0.987,,
7470,21591615,bad,bad,0.013 *0.987,,
7471,87479580,good,good,*1      0    ,,
7472,45850726,bad,bad,0.017 *0.983,,
7473,7481378,bad,bad,0.012 *0.988,,
7474,87479577,good,good,*1      0    ,,
7475,39942440,good,good,*0.9    0.1  ,,
7476,90783920,bad,bad,0     *1    ,,
7477,87217530,bad,bad,0.031 *0.969,,
7478,93485612,bad,bad,0.008 *0.992,,
7479,18707297,bad,bad,0.009 *0.991,,
7480,22938023,bad,bad,0.013 *0.987,,
7481,52421327,bad,bad,0.031 *0.969,,
7482,21591613,bad,bad,0.013 *0.987,,
7483,11728976,bad,bad,0.005 *0.995,,
7484,21591615,bad,bad,0.013 *0.987,,
7485,94599139,good,good,*0.88   0.12 ,,
7486,87479580,good,good,*1      0    ,,
7487,94599140,good,good,*0.88   0.12 ,,
7488,45850726,bad,bad,0.017 *0.983,,
7489,7481378,bad,bad,0.046 *0.954,,
7490,12926478,bad,bad,0.046 *0.954,,
7491,52068148,bad,bad,0.046 *0.954,,
7492,12926477,good,bad,0.046 *0.954,,
7493,50249253,bad,bad,0.046 *0.954,,
7494,45869639,bad,bad,0.046 *0.954,,
7495,89269803,bad,bad,0.046 *0.954,,
7496,32110529,bad,bad,0.046 *0.954,,
7497,39942441,bad,bad,0.046 *0.954,,
7498,39942443,bad,bad,0.046 *0.954,,
7499,39942442,bad,bad,0.046 *0.954,,
7500,44673503,bad,bad,0.046 *0.954,,
7501,64278029,bad,bad,0.046 *0.954,,
7502,44526267,bad,bad,0.046 *0.954,,
7503,24483136,bad,bad,0.046 *0.954,,
7504,11256943,bad,bad,0.046 *0.954,,
7505,7668972,bad,bad,0.046 *0.954,,
7506,7668974,bad,bad,0.046 *0.954,,
7507,12321508,bad,bad,0.046 *0.954,,
7508,86142505,bad,bad,0.046 *0.954,,
7509,22938022,bad,bad,0.046 *0.954,,
7510,20321736,bad,bad,0.046 *0.954,,
7511,21591612,bad,bad,0.046 *0.954,,
7512,11728976,bad,bad,0.046 *0.954,,
7513,8788782,bad,bad,0.046 *0.954,,
7514,52198659,bad,bad,0.046 *0.954,,
7515,94599137,bad,bad,0.046 *0.954,,
7516,58743452,bad,bad,0.046 *0.954,,
7517,58743453,bad,bad,0.046 *0.954,,
7518,96590060,bad,bad,0.046 *0.954,,
7519,45850728,bad,bad,0.046 *0.954,,
7520,72490863,good,bad,0.046 *0.954,,
7521,87479577,good,good,*0.717  0.283,,
7522,12926478,bad,bad,0.033 *0.967,,
7523,50249253,bad,bad,0     *1    ,,
7524,56513173,bad,bad,0.088 *0.913,,
7525,39942441,bad,good,*0.933  0.067,,
7526,39942442,good,good,*0.933  0.067,,
7527,33173731,bad,bad,0     *1    ,,
7528,93485612,bad,bad,0.302 *0.698,,
7529,7668972,bad,bad,0.015 *0.985,,
7530,7668974,bad,bad,0.051 *0.949,,
7531,24748479,bad,bad,0.06  *0.94 ,,
7532,88987917,bad,bad,0     *1    ,,
7533,30523626,bad,good,*1      0    ,,
7534,88304927,bad,bad,0.061 *0.939,,
7535,21591612,bad,bad,0     *1    ,,
7536,11728976,bad,bad,0.033 *0.967,,
7537,21591615,bad,bad,0.015 *0.985,,
7538,21591614,bad,bad,0.015 *0.985,,
7539,8788782,bad,bad,0.051 *0.949,,
7540,87479580,bad,good,*0.8    0.2  ,,
7541,45850725,bad,bad,0     *1    ,,
7542,28257539,good,bad,0.06  *0.94 ,,
7543,50249253,bad,bad,0     *1    ,,
7544,45869637,bad,bad,0     *1    ,,
7545,89269802,bad,bad,0.004 *0.996,,
7546,52198660,bad,bad,0.001 *0.999,,
7547,39942443,bad,bad,0     *1    ,,
7548,39942442,bad,bad,0     *1    ,,
7549,32110530,bad,bad,0.01  *0.99 ,,
7550,93485612,good,good,*1      0    ,,
7551,11256942,bad,bad,0.033 *0.967,,
7552,42851841,bad,bad,0     *1    ,,
7553,7668975,bad,bad,0.051 *0.949,,
7554,86142508,bad,bad,0.012 *0.988,,
7555,19552034,bad,bad,0     *1    ,,
7556,19552033,bad,bad,0     *1    ,,
7557,86142505,bad,bad,0.012 *0.988,,
7558,69323954,bad,bad,0.036 *0.964,,
7559,88987917,bad,bad,0.004 *0.996,,
7560,47942866,bad,bad,0     *1    ,,
7561,47942867,bad,bad,0     *1    ,,
7562,30523626,bad,bad,0     *1    ,,
7563,21591614,bad,bad,0.094 *0.906,,
7564,8788782,bad,bad,0.051 *0.949,,
7565,52198657,bad,bad,0.001 *0.999,,
7566,20321734,bad,bad,0     *1    ,,
7567,68908713,bad,bad,0.036 *0.964,,
7568,58743452,bad,bad,0.111 *0.889,,
7569,58743455,bad,bad,0.008 *0.992,,
7570,87479580,bad,bad,0.241 *0.759,,
7571,96590063,bad,bad,0.08  *0.92 ,,
7572,96689089,good,bad,0.08  *0.92 ,,
7573,45850725,bad,bad,0     *1    ,,
7574,45850726,bad,bad,0     *1    ,,
7575,12926479,bad,bad,0.003 *0.997,,
7576,50249253,bad,bad,0.003 *0.997,,
7577,28187355,bad,bad,0     *1    ,,
7578,87217530,bad,bad,0     *1    ,,
7579,7668972,bad,bad,0.003 *0.997,,
7580,88436999,bad,bad,0.004 *0.996,,
7581,75259914,bad,bad,0     *1    ,,
7582,69323954,bad,bad,0     *1    ,,
7583,47355262,bad,bad,0.003 *0.997,,
7584,88987917,bad,bad,0.004 *0.996,,
7585,94479547,bad,bad,0.008 *0.992,,
7586,52421326,bad,bad,0     *1    ,,
7587,52198659,bad,bad,0     *1    ,,
7588,53621904,bad,bad,0     *1    ,,
7589,94599137,good,good,*0.928  0.072,,
7590,94599139,good,good,*0.928  0.072,,
7591,96689089,bad,bad,0.08  *0.92 ,,
7592,45850728,bad,bad,0.003 *0.997,,
7593,87479578,good,good,*0.889  0.111,,
7594,87479577,good,good,*0.889  0.111,,
7595,52068147,good,good,*0.882  0.118,,
7596,50249253,bad,bad,0.045 *0.955,,
7597,52198660,bad,bad,0     *1    ,,
7598,39942442,good,good,*0.971  0.029,,
7599,44526267,bad,bad,0.045 *0.955,,
7600,93485612,bad,bad,0     *1    ,,
7601,7668974,bad,bad,0.029 *0.971,,
7602,69323954,bad,bad,0     *1    ,,
7603,1788899,bad,bad,0.029 *0.971,,
7604,94599140,good,good,*1      0    ,,
7605,72490863,bad,bad,0     *1    ,,
7606,87479578,good,good,*0.854  0.146,,
7607,73388125,bad,good,*0.854  0.146,,
7608,12926478,good,good,*0.854  0.146,,
7609,28257538,good,good,*0.854  0.146,,
7610,52068147,bad,good,*0.854  0.146,,
7611,39942440,good,good,*0.854  0.146,,
7612,44526267,good,good,*0.854  0.146,,
7613,87217530,bad,good,*0.854  0.146,,
7614,11256943,good,good,*0.854  0.146,,
7615,7668972,bad,good,*0.854  0.146,,
7616,22938024,good,good,*0.854  0.146,,
7617,47942867,good,good,*0.854  0.146,,
7618,30523625,good,good,*0.854  0.146,,
7619,62245245,good,good,*0.854  0.146,,
7620,52421328,good,good,*0.854  0.146,,
7621,52421326,good,good,*0.854  0.146,,
7622,21591614,good,good,*0.854  0.146,,
7623,52198659,good,good,*0.854  0.146,,
7624,94599137,good,good,*0.854  0.146,,
7625,92331214,bad,good,*0.854  0.146,,
7626,58743452,good,good,*0.854  0.146,,
7627,96590060,good,good,*0.854  0.146,,
7628,94599140,good,good,*0.854  0.146,,
7629,60392860,good,good,*0.854  0.146,,
7630,45850726,good,good,*0.854  0.146,,
7631,87479577,bad,bad,0.283 *0.717,,
7632,28257539,bad,bad,0.06  *0.94 ,,
7633,52068147,bad,bad,0.155 *0.845,,
7634,45869638,bad,bad,0     *1    ,,
7635,54685154,bad,bad,0.036 *0.964,,
7636,39942441,bad,bad,0.172 *0.828,,
7637,39942442,bad,bad,0.172 *0.828,,
